,lag=20,lag=40,lag=60,lag=80,lag=100,Mean,Std
n=20,-8.901436290579614,-8.622938520186421,-8.07581549032979,-7.906441818936564,,-8.376658030008096,0.40238533194113363
n=40,-8.255394874561677,-7.962704740792996,-7.630761457176749,-7.161272236287523,,-7.752533327204737,0.4066509021453876
n=60,-7.845246488131366,-7.570714328423945,-7.281555169249639,-6.834221164043576,,-7.382934287462131,0.3742852295016929
n=80,-7.475742847557622,-7.30581957875897,-7.17210388950732,-6.728808457417682,,-7.170618693310399,0.27684766536783456
n=100,-7.395671339367241,-7.071762779781157,-7.387756245833487,-6.977163134560015,,-7.208088374885475,0.1866675165331915
Mean,-7.974698368039503,-7.706787989588699,-7.509598450419396,-7.121581362249072,,-7.578166542574168,0.329367329097848
Std,0.554728835812929,0.5454124866738316,0.32125816722431466,0.41839798391600136,,0.44925742379226785,0.08537394071168083
