,lag=20,lag=40,lag=60,lag=80,lag=100
n=20,-21.546007025048443,-28.661110466504255,-32.23201788120857,-36.4248993292368,
n=40,-28.776454917382566,-31.923666550426056,-29.97068316080415,-32.51761919194174,
n=60,-31.89996907383537,-28.2704946854836,-31.52000682617726,-34.37529667132391,
n=80,-29.030270227723136,-28.98205924491603,-32.25764970701691,-34.85554219080873,
n=100,-29.609799966844285,-29.31258233279401,-32.51396591828764,-32.49762310980428,
