,lag=20,lag=40,lag=60,lag=80,lag=100,Mean,Std
n=20,-18.68713555860013,-22.77820419543508,-25.632528479130787,-28.042728633958436,,-23.785149216781107,3.483657351388948
n=40,-22.893512679562246,-27.529844050269613,-30.726476014952357,-32.986615616794396,,-28.534112090394654,3.78999219129155
n=60,-24.685944615908817,-29.14691030130139,-32.490699190782586,-34.79161661687167,,-30.278792681216117,3.8019474445624986
n=80,-25.648641723072604,-30.066150227242275,-33.27193236954011,-35.56681514272121,,-31.13838486564405,3.7232373870569146
n=100,-26.052379275829033,-30.39346732322339,-33.73640952061017,-36.01343854220502,,-31.5489236654669,3.7504688719264876
Mean,-23.593522770594564,-27.982915219494352,-31.1716091150032,-33.48024291051014,,-29.057072503900564,3.7098606492452797
Std,2.684232639390919,2.785670634555232,2.953273278571675,2.9086352194530494,,2.831976210690068,0.11653063007415394
