,lag=20,lag=40,lag=60,lag=80,lag=100
n=20,-23.549406923448142,-30.466520863943554,-35.4439089260446,-39.60145327562166,
n=40,-31.055831500677023,-38.72945255146837,-44.002832520164795,-48.36223084410143,
n=60,-33.84444228947808,-41.488268222301066,-46.604976540405495,-49.41800249616373,
n=80,-35.19080173061223,-42.65409727003664,-47.71573068235956,-50.47778312249573,
n=100,-35.79784739613856,-43.203437791669955,-48.22198722842914,-50.943492254464346,
