,lag=20,lag=40,lag=60,lag=80,lag=100
n=20,20.0,20.0,20.0,20.0,0.0
n=40,20.0,20.0,20.0,20.0,0.0
n=60,20.0,20.0,20.0,19.0,0.0
n=80,20.0,20.0,20.0,19.0,0.0
n=100,20.0,20.0,20.0,19.0,0.0
